Temporada,Jornada,Posicion_Local,Puntos_Acumulados_Local,Local,Goles_Acumulados_Local,Visitante,Goles_Acumulados_Visitantes,Puntos_Acumulados_Visitantes,Posicion_Visitante,Resultado,Ratio_Jornada_Local,Ratio_Jornada_Visitante,Estado_Tabla_Local,Estado_Tabla_Visitante,Racha_Local,Racha_Visitante,Racha_Puntos_Local,Racha_Puntos_Visitante,Media_Goles,Media_Goles_Local,Media_Goles_Visitante,Goles_Encajados_Local_Acumulados,Goles_Encajados_Visitante_Acumulados,Goles_Marcados_Local_Acumulados,Goles_Marcados_Visitante_Acumulados,Diferencia_Posicion,Rendimiento_Casa_Local,Rendimiento_Fuera_Visitante,Forma_Reciente_Local,Forma_Reciente_Visitante,Porterias_Cero_Local_Acum,Porterias_Cero_Visitante_Acum,Diferencia_Puntos_Local,Diferencia_Puntos_Visitante,Ratio_Goles_por_partido_Visitante,Ratio_Goles_por_partido_Local,Local_Es_Favorito,Visitante_Es_Favorito,Rendimiento_Vistante,Rendimiento_Local,Local_Es_Ofensivo,Visitante_Es_Ofensivo,Local_Es_Defensivo,Visitante_Es_Defensivo
2000,5,9,6.0,29,8.0,32,4.0,3.0,14,0,1.2,0.6,1,3,1,5,2,2,0.0,0.0,0.0,0,5,3,3,-5,3.0,1.0,3.0,1.0,13,8,3.0,-3.0,0.8,1.6,0,0,0.05714285714285715,0.17777777777777778,0,0,1,0
2000,5,8,6.0,20,17.0,28,11.0,3.0,17,0,1.2,0.6,2,3,5,6,2,2,0.0,0.0,0.0,4,5,2,2,-9,2.0,1.0,2.0,1.0,13,8,3.0,-3.0,2.2,3.4,0,0,0.12941176470588237,0.425,0,0,1,0
2000,5,18,3.0,24,6.0,5,31.0,12.0,3,0,0.6,2.4,4,0,5,13,2,2,0.0,0.0,0.0,2,5,2,7,15,1.0,3.0,1.0,4.0,14,8,-9.0,9.0,6.2,1.2,0,0,2.066666666666667,0.06666666666666667,0,0,1,0
2000,5,11,6.0,25,14.0,19,16.0,9.0,2,1,1.2,1.8,1,0,4,4,2,2,0.0,0.0,0.0,3,3,1,3,9,2.0,3.0,2.0,3.0,14,8,-3.0,3.0,3.2,2.8,0,0,1.6,0.2545454545454545,0,0,0,0
2000,5,19,3.0,12,5.0,27,5.0,6.0,12,0,0.6,1.2,4,1,6,6,2,2,0.0,0.0,0.0,4,2,2,0,7,1.0,2.0,1.0,2.0,15,8,-3.0,3.0,1.0,1.0,0,0,0.08333333333333333,0.05263157894736842,0,0,0,1
2000,5,16,3.0,26,4.0,37,32.0,12.0,1,1,0.6,2.4,3,0,2,5,2,2,0.0,0.0,0.0,2,2,0,4,15,1.5,4.0,1.5,4.0,15,8,-9.0,9.0,6.4,0.8,0,0,6.4,0.05,0,0,0,0
2000,5,9,6.0,29,8.0,0,6.0,9.0,4,1,1.2,1.8,1,0,3,1,2,2,0.0,0.0,0.0,1,0,7,3,5,2.0,4.5,2.0,4.5,15,9,-3.0,3.0,1.2,1.6,0,0,0.3,0.17777777777777778,0,0,0,1
2000,5,6,9.0,8,15.0,38,4.0,3.0,20,0,1.8,0.6,2,4,3,0,2,2,0.0,0.0,0.0,1,0,5,0,-14,3.0,3.0,3.0,3.0,15,9,6.0,-6.0,0.8,3.0,0,0,0.04,0.5,0,0,0,1
2000,5,14,3.0,32,4.0,30,12.0,9.0,5,1,0.6,1.8,3,2,2,2,2,2,0.0,0.0,0.0,6,2,0,0,9,1.5,4.5,1.5,4.5,15,9,-6.0,6.0,2.4,0.8,0,0,0.48,0.05714285714285715,0,0,0,1
2000,5,2,9.0,19,16.0,20,17.0,6.0,8,0,1.8,1.2,0,2,3,5,2,2,0.0,0.0,0.0,0,5,4,4,-6,3.0,2.0,3.0,2.0,16,9,3.0,-3.0,3.4,3.2,0,0,0.425,1.6,0,0,1,0
